timestamp,open,high,low,close,volume
1672551420,16521.00000000,16521.70000000,16519.51000000,16519.91000000,32.91417000
1672551480,16519.51000000,16520.65000000,16518.00000000,16518.55000000,25.25906000
1672551540,16518.55000000,16518.94000000,16516.50000000,16518.16000000,60.59125000
1672551600,16517.92000000,16518.81000000,16516.44000000,16516.92000000,53.77867000
1672551660,16517.28000000,16518.82000000,16516.35000000,16518.71000000,88.59664000
1672551720,16518.71000000,16519.83000000,16517.53000000,16518.42000000,51.55715000
1672551780,16518.27000000,16518.90000000,16516.69000000,16516.99000000,24.00350000
1672551840,16516.69000000,16520.74000000,16514.79000000,16520.02000000,70.03529000
1672551900,16520.03000000,16521.50000000,16518.85000000,16519.55000000,66.54821000
1672551960,16519.55000000,16523.28000000,16518.92000000,16522.80000000,59.07799000
1672552020,16522.80000000,16522.92000000,16520.85000000,16522.42000000,59.21768000
1672552080,16522.81000000,16523.90000000,16520.88000000,16520.88000000,67.71818000
1672552140,16521.38000000,16522.73000000,16520.00000000,16522.06000000,36.52254000
1672552200,16522.06000000,16522.99000000,16521.29000000,16522.46000000,44.58094000
1672552260,16522.66000000,16524.18000000,16521.27000000,16521.88000000,45.37076000
1672552320,16521.88000000,16522.89000000,16519.85000000,16521.89000000,42.06664000
1672552380,16522.27000000,16522.39000000,16520.07000000,16521.32000000,25.14371000
1672552440,16521.32000000,16524.20000000,16520.37000000,16522.47000000,55.44923000
1672552500,16522.48000000,16524.82000000,16522.19000000,16524.13000000,63.69332000
